Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
68;1;Bougies déco;65;0;<p>Un design exclusif pour des bougies uniques ! Nos <strong>bougies fantaisies</strong> misent sur la créativité, les idées pop, couleurs flash et formes figuratives… Composer, compléter, assortir, un jeu d’enfant pour faire de la <strong>bougie non parfumée</strong> un accessoire déco ultra tendance.</p>;Fantaisies, bougies décoratives;Fantaisies, bougies décoratives;Bougies la Française vous propose des bougies décoratives au design unique. Découvrez toutes nos bougies fantaisies et personnalisez votre déco.;bougies-deco;;1
69;1;Recharges;6;0;<p>Classiques ou colorées, nos <strong>bougies votives</strong> et <strong>bougies chauffe-plat</strong> illumineront votre intérieur en toute simplicité. Déposées dans une lanterne ou un photophore pour une ambiance lumineuse du plus bel effet, ces <strong>petites bougies</strong> restent un basic à avoir toujours à portée de main !</p>;Bougies recharges, votives et chauffe-plats;Bougies recharges, votives et chauffe-plats;Pour une ambiance tamisée, découvrez nos bougies votives et chauffe-plat. Classiques ou colorées, nos petites bougies illuminent votre soirée en toute simplicité.;bougies-recharges;;1
70;1;Bougies chauffe-plat;69;0;<p>Parsemées dans toutes les pièces de votre maison, les <strong>bougies chauffe-plat</strong> donnent le ton. Pour une ambiance romantique, zen ou tout simplement tamisée, ces <strong>petites bougies</strong> s’allument tout au long de l’année. Agrémentez vos photophores et lanternes de <strong>bougies chauffe-plat</strong> et illuminez vos plus belles soirées !</p>;Bougies chauffe-plat;Bougies chauffe-plat;Pour une ambiance tamisée, nos petites bougies s’allument tout au long de l’année. Agrémentez vos photophores de bougies chauffe-plat et illuminez vos soirées !;bougies-chauffe-plat;;1
71;1;Bougies votives;69;0;<p>Disposées dans une entrée, le long d’un couloir ou dans les escaliers, les <strong>bougies votives</strong> constellent votre décor ! Ces <strong>petites bougies</strong> s’adaptent à tous les recoins de votre déco pour semer de jolies notes colorées au gré de votre mobilier. Multipliez les sources de lumière et faites scintiller toutes vos soirées.</p>;Bougies votives colorées;Bougies votives colorées;Les bougies votives s’adaptent à tous les recoins de votre déco pour semer de jolies notes colorées. Ces petites bougies font scintiller toutes vos soirées !;bougies-votives;;1
72;1;Accessoires;6;0;;;;;accessoires;;1
73;1;Photophores;72;0;;;;;photophores;;1
74;1;Petites verreries;72;0;<p>Chics et classiques, nos petites verreries deviendront vos accessoires fétiches. Déposez vos <strong>bougies flambeaux</strong> et <strong>chandelles</strong> sur ce <strong>bougeoir en verre</strong>… Tandis que cette <strong>bobèche</strong> protège vos plus belles nappes. Dans un jeu de transparence nos verreries se font discrètes pour sublimer toujours plus vos bougies.</p>;Petites verreries, bougeoirs, bobèches;Petites verreries, bougeoirs, bobèches;Chics et classiques, nos petites verreries deviendront vos accessoires fétiches ! Dans un jeu de transparence nos verreries se font discrètes pour sublimer toujours plus vos bougies.;petites-verreries;;1
75;1;Verreries de couleur;72;0;<p>Rehaussez votre intérieur de couleurs ! Nos <strong>photophores en verre</strong> épais se parent d’éclats transparents aux reflets colorés. Roses, bleus ou verts, nos <strong>photophores</strong> deviennent de véritables écrins pour vos bougies chauffe-plats.</p>;Photophores colorés;Photophores colorés;Des éclats transparents aux reflets colorés. Roses, bleus ou verts, les photophores de Bougies la française deviennent de véritables écrins pour vos bougies chauffe-plats.;verreries-colorees;;1
76;1;Petits accessoires;72;0;<p>Pratiques et astucieux, nos <strong>accessoires pour bougies</strong> deviendront très vite indispensables à la création de votre ambiance lumineuse. Colle à bougie, taille bougie, allume bougie… Entre passion et tradition, Bougies la Française vous dévoile les secrets de gestes minutieux.</p>;Petits accessoires pour bougies;Petits accessoires pour bougies;Colle à bougie, taille bougie, allume bougie… Pratiques et astucieux, nos accessoires pour bougies deviendront indispensables à la création de votre ambiance lumineuse.;petits-accessoires;;1
7;1;Offres spéciales;;0;;;;;offres-speciales;;1
77;1;Toutes les offres;7;0;<p>Un choix de palettes uniques, une sélection de parfums inédits… Découvrez toutes nos <strong>offres spéciales</strong> de <strong>bougies</strong> et <strong>parfums d’ambiance</strong>, et faites le plein d’inspiration ! N’attendez plus pour revisiter votre déco.</p>;Offres spéciales, bougies et parfums d’ambiance;Offres spéciales, bougies et parfums d’ambiance;Découvrez toutes nos offres spéciales de bougies et parfums d’ambiance, et faites le plein d’inspiration ! N’attendez plus pour revisiter votre déco.;toutes-les-offres;;1
8;1;Box cadeaux;;0;;;;;;;1
9;1;Collection Automne / Hiver;;0;;;;;;;1
78;1;Toute la collection;9;0;;;;;toute-la-collection-noel;;1
79;1;Noël scandinave;9;0;<p>Une collection de <strong>bougies déco</strong> placée sous le signe de l’Étoile du Nord ! Départ pour une escapade nordique où la force du Noir et Blanc souligne la modernité des formes. L’épure de la <strong>déco scandinave</strong> apporte une nouvelle magie à Noël. Le charme agit, laissez-vous emporter par la beauté simple, aux traits d’un design sûr.</p>;Bougies déco, Noël scandinave;Bougies déco, Noël scandinave;Découvrez la collection de bougies décoratives scandinaves. Signées Bougies la Française, Noël se place sous le signe de l’Étoile du Nord. L’épure de la déco scandinave apporte une nouvelle magie à Noël.;noel-scandinave;;1
80;1;Noël gourmand;9;0;<p>Cette année, placez Noël sous le signe de la <strong>gourmandise</strong>. En forme de gâteaux, de confiture de saison ou aux senteurs traditionnelles, nos <strong>bougies de Noël</strong> s’invitent à votre décoration de fêtes. Entre Paperkators et un verre de Glögg, succombez aux délices de nos <strong>bougies parfumées</strong> et émerveillez vos invités !</p>;Bougies parfumées, Noël gourmand;Bougies parfumées, Noël gourmand;Découvrez notre collection de bougies parfumées gourmandes. Une bougie gâteau, des senteurs traditionnelles… Signées Bougies la Française, Noël se place sous le signe de la gourmandise !;noel-gourmand;;1
81;1;Noël étincelant;9;0;;;;;noel-etincelant;;1
82;1;Parfums d'hiver;9;0;<p>Dans la douceur d’un parfum d’hiver, nos <strong>bougies parfumées</strong> révèlent les notes chaleureuses d’un feu de bois, l’odeur aromatique du sapin, l’onctuosité gourmande d’un chocolat chaud... Pour peu que l’on ferme les yeux, notre mémoire olfactive nous replonge dans les souvenirs de nos plus beaux Noëls d’enfant.</p>;Bougies parfumées senteur parfums d’hiver;Bougies parfumées senteur parfums d’hiver;Un feu de bois, un parfum de sapin, une senteur gourmande de chocolat. Redécouvrez nos plus beaux parfums d’hiver avec les bougies parfumées, Bougies la Française.;parfums-d-hiver;;1
